,profile,allocation_IMM,mean_IMM,allocation_WMPM,mean_WMPM,mean_vote
391,"((0.3, 0.7), (0.2, 0.8), (0.6, 0.4))",[0.333 0.667],0.06666666915019359,[0.3 0.7],0.13333333333333336,[0.367 0.633]
392,"((0.3, 0.7), (0.2, 0.8), (0.7, 0.3))",[0.333 0.667],0.1333333358168602,[0.3 0.7],0.19999999999999996,[0.4 0.6]
393,"((0.3, 0.7), (0.2, 0.8), (0.8, 0.2))",[0.333 0.667],0.2000000024835269,[0.3 0.7],0.26666666666666666,[0.433 0.567]
394,"((0.3, 0.7), (0.2, 0.8), (0.9, 0.1))",[0.333 0.667],0.2666666691501935,[0.3 0.7],0.33333333333333326,[0.467 0.533]
395,"((0.3, 0.7), (0.2, 0.8), (1.0, 0.0))",[0.333 0.667],0.3333333358168602,[0.3 0.7],0.39999999999999997,[0.5 0.5]
396,"((0.3, 0.7), (0.3, 0.7), (0.0, 1.0))",[0.3 0.7],0.19999999999999998,[0.3 0.7],0.19999999999999998,[0.2 0.8]
397,"((0.3, 0.7), (0.3, 0.7), (0.1, 0.9))",[0.3 0.7],0.13333333333333333,[0.3 0.7],0.13333333333333333,[0.233 0.767]
398,"((0.3, 0.7), (0.3, 0.7), (0.2, 0.8))",[0.3 0.7],0.06666666666666676,[0.3 0.7],0.06666666666666676,[0.267 0.733]
399,"((0.3, 0.7), (0.3, 0.7), (0.3, 0.7))",[0.3 0.7],1.1102230246251565e-16,[0.3 0.7],1.1102230246251565e-16,[0.3 0.7]
400,"((0.3, 0.7), (0.3, 0.7), (0.4, 0.6))",[0.333 0.667],7.45058065243498e-09,[0.3 0.7],0.06666666666666665,[0.333 0.667]
401,"((0.3, 0.7), (0.3, 0.7), (0.5, 0.5))",[0.333 0.667],0.06666666915019359,[0.3 0.7],0.13333333333333336,[0.367 0.633]
402,"((0.3, 0.7), (0.3, 0.7), (0.6, 0.4))",[0.333 0.667],0.1333333358168602,[0.3 0.7],0.19999999999999996,[0.4 0.6]
403,"((0.3, 0.7), (0.3, 0.7), (0.7, 0.3))",[0.333 0.667],0.20000000248352684,[0.3 0.7],0.2666666666666666,[0.433 0.567]
404,"((0.3, 0.7), (0.3, 0.7), (0.8, 0.2))",[0.333 0.667],0.2666666691501935,[0.3 0.7],0.33333333333333326,[0.467 0.533]
405,"((0.3, 0.7), (0.3, 0.7), (0.9, 0.1))",[0.333 0.667],0.3333333358168602,[0.3 0.7],0.39999999999999997,[0.5 0.5]
406,"((0.3, 0.7), (0.3, 0.7), (1.0, 0.0))",[0.333 0.667],0.4000000024835269,[0.3 0.7],0.4666666666666667,[0.533 0.467]
407,"((0.3, 0.7), (0.4, 0.6), (0.0, 1.0))",[0.333 0.667],0.1999999975164731,[0.3 0.7],0.13333333333333333,[0.233 0.767]
408,"((0.3, 0.7), (0.4, 0.6), (0.1, 0.9))",[0.333 0.667],0.13333333084980642,[0.3 0.7],0.06666666666666665,[0.267 0.733]
409,"((0.3, 0.7), (0.4, 0.6), (0.2, 0.8))",[0.333 0.667],0.06666666418313966,[0.3 0.7],1.1102230246251565e-16,[0.3 0.7]
410,"((0.3, 0.7), (0.4, 0.6), (0.3, 0.7))",[0.333 0.667],7.45058065243498e-09,[0.3 0.7],0.06666666666666665,[0.333 0.667]
411,"((0.3, 0.7), (0.4, 0.6), (0.4, 0.6))",[0.4 0.6],0.06666666666666665,[0.4 0.6],0.06666666666666665,[0.367 0.633]
412,"((0.3, 0.7), (0.4, 0.6), (0.5, 0.5))",[0.4 0.6],5.551115123125783e-17,[0.4 0.6],5.551115123125783e-17,[0.4 0.6]
